User ID,Route ID,Bike Region ID,Payment Plan,Start Hub,Start Area,Start Special Area,Start Latitude,Start Longitude,Start Date,Start Time,End Hub,End Area,End Special Area,End Latitude,End Longitude,End Date,End Time,Member Type,Trip Type,Bike ID,Bike Name,Distance [Miles],Duration,Rental Access Path,Multiple Rental,Ride cost,Fees,Bonuses,Total cost
506609,6144930,,STUDENT PASS SUBSCRIPTION,GEORGIA TECH - CLOUGH BUILDING,Relay System,,33.775305,-84.39612,2018-04-01,00:15,MARTA - MIDTOWN  (NORTH),Relay System,,33.78155833333334,-84.386135,2018-04-01,00:22,User,,12392,1017,0.95,00:07:52,keypad,false,0.0,0.0,0.0,0.0
655688,6144962,,PAY AS YOU GO,OUTWRIGHT STATION,Relay System,,33.781843333333335,-84.37919833333333,2018-04-01,00:20,OUTWRIGHT STATION,Relay System,,33.78176166666667,-84.37927,2018-04-01,00:50,User,,12512,2764,2.33,00:30:10,keypad,false,0.0,0.0,0.0,0.0
655697,6144965,,PAY AS YOU GO,OUTWRIGHT STATION,Relay System,,33.781778333333335,-84.37922833333333,2018-04-01,00:20,OUTWRIGHT STATION,Relay System,,33.781733333333335,-84.37929833333334,2018-04-01,00:50,User,,10830,2684,2.33,00:30:04,keypad,false,0.0,0.0,0.0,0.0
726484,6145027,,EarthShare of GA - Annual Plan,,Relay System,,33.78541666666667,-84.41099833333334,2018-04-01,00:35,14TH & HOWELL MILL,Relay System,,33.785785,-84.41081666666666,2018-04-01,00:46,User,,10829,2683,0.05,00:10:46,keypad,false,0.0,0.0,0.0,0.0
566116,6145037,,PAY AS YOU GO,,,,33.78578,-84.41079833333333,2018-04-01,00:36,14TH & HOWELL MILL,Relay System,,33.78586166666667,-84.41086166666666,2018-04-01,00:47,User,,13772,2757,0.17,00:10:51,keypad,false,0.0,0.0,0.0,0.0
726488,6145042,,EarthShare of GA - Annual Plan,14TH & HOWELL MILL,Relay System,,33.785758333333334,-84.410835,2018-04-01,00:37,14TH & HOWELL MILL,Relay System,,33.785715,-84.41082,2018-04-01,00:46,User,,12391,1018,0.07,00:08:52,keypad,false,0.0,0.0,0.0,0.0
480217,6145087,,STUDENT PASS SUBSCRIPTION,,Relay System,,33.77659,-84.3887,2018-04-01,00:48,GEORGIA TECH - WEST CAMPUS HOUSING ,Relay System,,33.778686666666665,-84.40453,2018-04-01,00:59,User,,10871,2657,1.09,00:11:23,keypad,false,0.0,0.0,0.0,0.0
726484,6145099,,EarthShare of GA - Annual Plan,14TH & HOWELL MILL,Relay System,,33.78615,-84.41113833333333,2018-04-01,00:51,14TH & HOWELL MILL,Relay System,,33.78591333333333,-84.41085166666667,2018-04-01,01:25,User,,10829,2683,1.37,00:34:15,keypad,false,0.0,0.0,0.0,0.0
726488,6145101,,EarthShare of GA - Annual Plan,14TH & HOWELL MILL,Relay System,,33.78555166666666,-84.41067833333334,2018-04-01,00:51,14TH & HOWELL MILL,Relay System,,33.7859,-84.410805,2018-04-01,01:25,User,,12391,1018,1.38,00:33:30,keypad,false,0.0,0.0,0.0,0.0
566116,6145102,,PAY AS YOU GO,14TH & HOWELL MILL,Relay System,,33.785898333333336,-84.410815,2018-04-01,00:51,14TH & HOWELL MILL,Relay System,,33.785918333333335,-84.41082666666667,2018-04-01,01:25,User,,12473,2762,1.34,00:33:55,keypad,false,0.0,0.0,0.0,0.0
726496,6145120,,EarthShare of GA - Annual Plan,14TH & HOWELL MILL,Relay System,,33.78590833333333,-84.41073833333333,2018-04-01,00:54,,Relay System,,33.78176166666667,-84.404955,2018-04-01,01:06,User,,12722,2927,0.67,00:11:26,keypad_phone_number,false,0.0,0.0,0.0,0.0
726496,6145188,,EarthShare of GA - Annual Plan,,Relay System,,33.781771666666664,-84.40501166666667,2018-04-01,01:19,14TH & HOWELL MILL,Relay System,,33.7859,-84.41085166666667,2018-04-01,01:25,User,,12722,2927,0.65,00:06:32,keypad_phone_number,false,0.0,0.0,0.0,0.0
336702,6145363,,STUDENT PASS SUBSCRIPTION,,,,33.775225,-84.39636333333333,2018-04-01,02:20,GEORGIA TECH - WEST CAMPUS HOUSING ,Relay System,,33.778685,-84.40456333333333,2018-04-01,02:25,User,,13023,2952*,0.72,00:05:17,keypad,false,0.0,0.0,0.0,0.0
616302,6145428,,STUDENT PASS SUBSCRIPTION,PIEDMONT PARK & EASTSIDE BELTLINE,Relay System,,33.782318333333336,-84.36985166666666,2018-04-01,02:52,OUTWRIGHT STATION,Relay System,,33.78169666666667,-84.379185,2018-04-01,03:01,User,,11767,2574,0.57,00:08:58,keypad,false,0.0,0.0,0.0,0.0
400650,6145541,,PAY AS YOU GO,5TH & ARGONNE,Relay System,,33.77554166666667,-84.37778333333333,2018-04-01,03:52,OUTWRIGHT STATION,Relay System,,33.78178333333334,-84.37917333333333,2018-04-01,03:57,User,,12630,2900,0.53,00:04:28,keypad,false,0.0,0.0,0.0,0.0
726575,6145554,,EarthShare of GA - Annual Plan,GREENWOOD AVE BELTLINE,Relay System,,33.77672666666667,-84.36525833333333,2018-04-01,03:59,GREENWOOD AVE BELTLINE,Relay System,,33.77675,-84.365225,2018-04-01,07:22,User,,17128,1319*,0.0,03:23:08,keypad,false,0.0,0.0,0.0,0.0
