User ID,Route ID,Bike Region ID,Payment Plan,Start Hub,Start Area,Start Special Area,Start Latitude,Start Longitude,Start Date,Start Time,End Hub,End Area,End Special Area,End Latitude,End Longitude,End Date,End Time,Member Type,Trip Type,Bike ID,Bike Name,Distance [Miles],Duration,Rental Access Path,Multiple Rental,Ride cost,Fees,Bonuses,Total cost
567832,5444171,,PAY AS YOU GO,PIEDMONT PARK & EASTSIDE BELTLINE,Relay System,,33.782355,-84.36984833333334,2018-01-01,00:36,KING OF POPS,Relay System,,33.76372166666667,-84.35892833333334,2018-01-01,00:57,User,,12545,2830,1.54,00:20:26,mobile,false,0.0,0.0,0.0,0.0
541650,5444181,,PAY AS YOU GO,PIEDMONT PARK & EASTSIDE BELTLINE,Relay System,,33.78236666666667,-84.36991833333333,2018-01-01,00:41,KING OF POPS,Relay System,,33.76376833333333,-84.358945,2018-01-01,00:57,User,,12648,2820,1.53,00:15:51,keypad,false,0.0,0.0,0.0,0.0
541650,5444204,,PAY AS YOU GO,KING OF POPS,Relay System,,33.76376,-84.35912166666667,2018-01-01,01:00,KING OF POPS,Relay System,,33.76376,-84.35912166666667,2018-01-01,01:00,User,,12648,2820,0.0,00:00:13,keypad,false,0.0,0.0,0.0,0.0
354870,5444378,,STUDENT PASS SUBSCRIPTION,PARK & MEMORIAL,Relay System,,33.74669,-84.369675,2018-01-01,03:17,,Relay System,,33.745758333333335,-84.36413833333333,2018-01-01,03:21,User,,12716,2938,0.44,00:03:13,keypad,false,0.0,2.0,0.0,2.0
354870,5444395,,STUDENT PASS SUBSCRIPTION,,Relay System,,33.74581,-84.36419,2018-01-01,03:26,PARK & MEMORIAL,Relay System,,33.74645833333334,-84.36960166666667,2018-01-01,03:31,User,,12716,2938,0.43,00:04:45,keypad,false,0.0,0.0,-1.0,-1.0
590358,5444495,,ANNUAL PASS,PONCE - HIGHLAND,Relay System,,33.77339166666667,-84.35288666666666,2018-01-01,04:50,VIRGINIA-HIGHLAND,Relay System,,33.78264333333333,-84.35440666666666,2018-01-01,04:56,User,,12397,1013,0.68,00:05:27,keypad,false,0.0,0.0,0.0,0.0
604691,5444750,,MONTHLY PASS SUBSCRIPTION,PIEDMONT PARK & EASTSIDE BELTLINE,Relay System,,33.78232333333333,-84.36975833333334,2018-01-01,10:02,IRWIN & EASTSIDE BELTLINE ,Relay System,,33.757603333333336,-84.36468166666667,2018-01-01,10:16,User,,12633,2880,2.04,00:13:44,keypad,false,0.0,0.0,0.0,0.0
340056,5444760,,ANNUAL PASS,EDGEWOOD & EASTSIDE BELTLINE,Relay System,,33.754185,-84.36552,2018-01-01,10:11,IRWIN & EASTSIDE BELTLINE ,Relay System,,33.75759333333333,-84.36468,2018-01-01,10:14,User,,12671,2816,0.3,00:03:13,keypad,false,0.0,0.0,0.0,0.0
340056,5444769,,ANNUAL PASS,IRWIN & EASTSIDE BELTLINE ,Relay System,,33.757655,-84.36456666666666,2018-01-01,10:15,PIEDMONT PARK & EASTSIDE BELTLINE,Relay System,,33.78232,-84.36983,2018-01-01,10:26,User,,12370,1047,2.05,00:11:21,keypad,false,0.0,0.0,0.0,0.0
618120,5444873,,PAY AS YOU GO,EDGEWOOD & EASTSIDE BELTLINE,Relay System,,33.75432,-84.36537833333334,2018-01-01,11:23,TECH PARKWAY,Relay System,,33.77747,-84.40765833333333,2018-01-01,11:51,User,,12494,2704,3.7,00:27:20,keypad,false,0.0,0.0,0.0,0.0
340056,5444893,,ANNUAL PASS,INMAN PARK VILLAGE,Relay System,,33.761963333333334,-84.36010333333333,2018-01-01,11:39,EDGEWOOD & EASTSIDE BELTLINE,Relay System,,33.75429333333334,-84.36536,2018-01-01,11:47,User,,11739,2738,0.77,00:07:57,keypad,false,0.0,0.0,0.0,0.0
616430,5445156,,PAY AS YOU GO,JUNIPER & 14TH ST,Relay System,,33.786705,-84.38176333333334,2018-01-01,13:57,JUNIPER & 14TH ST,Relay System,,33.786231666666666,-84.38224166666667,2018-01-01,15:06,User,,12570,2841,2.53,01:08:53,mobile,false,5.85,0.0,0.0,5.85
618176,5445174,,PAY AS YOU GO,JUNIPER & 14TH ST,Relay System,,33.78649333333333,-84.38223,2018-01-01,14:04,JUNIPER & 14TH ST,Relay System,,33.786271666666664,-84.38228666666667,2018-01-01,15:06,User,,12668,2906,2.64,01:01:35,mobile,false,4.8,0.0,0.0,4.8
332203,5445381,,MONTHLY PASS SUBSCRIPTION,MARTA - INMAN PARK ,Relay System,,33.757455,-84.35377333333334,2018-01-01,15:17,INMAN PARK,Relay System,,33.761871666666664,-84.35788666666667,2018-01-01,15:24,User,,12361,1032,0.56,00:07:13,keypad,false,0.0,0.0,0.0,0.0
