User ID,Route ID,Bike Region ID,Payment Plan,Start Hub,Start Area,Start Special Area,Start Latitude,Start Longitude,Start Date,Start Time,End Hub,End Area,End Special Area,End Latitude,End Longitude,End Date,End Time,Member Type,Trip Type,Bike ID,Bike Name,Distance [Miles],Duration,Rental Access Path,Multiple Rental,Ride cost,Fees,Bonuses,Total cost
473630,5845664,,City of Atlanta Employee Pass,MARTA - GARNETT,Relay System,,33.749786666666665,-84.39475666666667,2018-03-01,06:03,CITY HALL,Relay System,,33.74839,-84.39086666666667,2018-03-01,06:04,User,,10849,2636,0.29,00:01:47,keypad,false,0.0,0.0,0.0,0.0
254586,5845665,,City of Atlanta Employee Pass,,Relay System,,33.733261666666664,-84.41993166666667,2018-03-01,06:03,FAIRLIE-POPLAR DISTRICT,Relay System,,33.75581,-84.39129333333334,2018-03-01,06:23,User,,12678,2810,2.67,00:19:57,keypad,false,0.0,0.0,0.0,0.0
630309,5845798,,MONTHLY PASS SUBSCRIPTION,STATE & 11TH,Relay System,,33.78330833333333,-84.398935,2018-03-01,07:34,MARTA - NORTH AVE ,Relay System,,33.772326666666665,-84.38709333333334,2018-03-01,07:49,User,,12552,2837 ,1.53,00:15:36,keypad,false,0.0,0.0,0.0,0.0
471984,5845816,,ANNUAL PASS,LITTLE FIVE POINTS,Relay System,,33.76419333333333,-84.35067,2018-03-01,07:39,HARDY IVY PARK,Relay System,,33.76273333333334,-84.38729333333333,2018-03-01,08:02,User,,12684,2917,2.35,00:23:27,keypad,false,0.0,0.0,0.0,0.0
358024,5845876,,STUDENT PASS SUBSCRIPTION,TECH SQUARE ,Relay System,,33.776625,-84.38915166666666,2018-03-01,07:55,MARTA - ARTS CENTER ,Relay System,,33.78935166666667,-84.38658833333334,2018-03-01,08:01,User,,12523,2755,1.07,00:05:24,keypad,false,0.0,0.0,0.0,0.0
569773,5845890,,STUDENT PASS SUBSCRIPTION,STATE & 11TH,Relay System,,33.783325,-84.39893333333333,2018-03-01,08:00,WALTON SPRING PARK,Relay System,,33.75951666666667,-84.38970833333333,2018-03-01,08:23,User,,11734,2732,2.0,00:23:03,keypad,false,0.0,0.0,0.0,0.0
627776,5845918,,STUDENT PASS SUBSCRIPTION,HIGHLAND - FREEDOM TRAIL,Relay System,,33.76135,-84.36583666666667,2018-03-01,08:08,GSU MARTA,Relay System,,33.750886666666666,-84.38597333333334,2018-03-01,08:21,User,,12512,2764,1.73,00:12:38,keypad_phone_number,false,0.0,0.0,0.0,0.0
157613,5845920,,ANNUAL PASS,MARTA - FIVE POINTS ,Relay System,,33.75353,-84.39085333333334,2018-03-01,08:09,CITY HALL,Relay System,,33.74838333333334,-84.39106,2018-03-01,08:14,User,,12400,1011,0.58,00:05:17,keypad,false,0.0,0.0,0.0,0.0
673775,5845930,,ANNUAL PASS,INMAN PARK VILLAGE,Relay System,,33.761955,-84.35982333333334,2018-03-01,08:12,PIEDMONT PARK & EASTSIDE BELTLINE,Relay System,,33.782336666666666,-84.36980666666666,2018-03-01,08:23,User,,12360,1028,1.71,00:10:59,mobile,false,0.0,0.0,0.0,0.0
228277,5845946,,PAY AS YOU GO hidden,GREENWOOD AVE BELTLINE,Relay System,,33.77691166666666,-84.36524333333334,2018-03-01,08:15,JUNIPER & 14TH ST,Relay System,,33.78632666666667,-84.38211333333334,2018-03-01,08:26,User,,12481,2714,1.47,00:10:47,mobile,false,0.0,0.0,0.0,0.0
556433,5846017,,MONTHLY PASS SUBSCRIPTION,,Relay System,,33.781025,-84.38678833333333,2018-03-01,08:32,PIEDMONT PARK & EASTSIDE BELTLINE,Relay System,,33.782305,-84.36983666666667,2018-03-01,08:39,User,,12558,2832,1.16,00:06:47,keypad,false,0.0,0.0,0.0,0.0
651659,5846067,,STUDENT PASS SUBSCRIPTION,,Relay System,,33.768255,-84.37753833333333,2018-03-01,08:44,GEORGIA TECH - TRANSIT HUB,Relay System,,33.77273,-84.39729666666666,2018-03-01,08:57,User,,13196,2974,1.4,00:13:14,keypad,false,0.0,0.0,0.0,0.0
673792,5846100,,PAY AS YOU GO,,Relay System,,33.78329333333333,-84.35394333333333,2018-03-01,08:51,MARTA - ARTS CENTER ,Relay System,,33.78912,-84.38668,2018-03-01,09:18,User,,12617,2885,2.76,00:27:27,mobile,false,0.0,0.0,0.0,0.0
